-1,-1
74,45
76,45
77,45
78,45
79,45
81,45
82,44
83,44
85,44
86,44
87,44
88,44
91,44
94,44
97,44
101,44
103,44
103,43
104,43
105,43
106,43
107,43
111,43
116,43
121,43
123,43
127,43
128,43
129,43
132,43
132,43
134,43
137,43
138,43
139,43
141,43
143,43
145,43
153,45
160,47
165,48
167,48
170,48
171,48
173,48
173,48
174,48
177,48
177,48
178,48
181,48
183,48
187,48
189,48
195,48
196,48
195,48
195,48
-1,-1
97,128
98,128
99,128
100,128
102,128
105,128
107,128
110,128
112,128
118,128
119,128
125,127
126,127
132,126
133,126
138,126
139,126
143,126
144,126
145,126
147,126
149,126
149,126
150,126
151,126
152,126
152,126
153,126
154,126
156,126
158,125
161,125
162,125
165,125
167,125
169,124
171,124
170,123
-1,-1
130,53
130,55
130,58
130,61
130,63
130,67
130,72
130,73
130,78
130,81
130,81
130,83
130,84
130,85
130,88
130,88
130,89
130,91
130,92
130,95
130,96
130,97
130,99
130,101
130,104
130,105
130,109
130,111
130,116
129,121
129,123
129,126
129,128
129,131
129,134
129,134
129,136
129,137
129,139
129,140
129,143
129,147
129,148
129,152
129,155
129,156
129,159
129,161
129,162
129,164
129,168
129,173
129,180
129,181
128,184
128,185
128,186
128,187
128,188
128,189
128,190
128,191
128,193
128,196
127,197
127,198
127,198
126,198
124,198
124,198
123,197
-1,-1
42,201
47,201
49,201
52,201
56,201
59,201
67,201
69,201
77,200
80,200
90,199
91,199
100,199
103,198
111,198
113,198
121,198
124,198
130,198
131,198
134,198
137,198
140,198
146,198
148,198
153,198
155,198
161,198
162,198
169,200
176,200
178,201
183,202
184,202
187,203
190,203
193,203
199,204
201,204
206,204
208,204
212,204
213,204
215,204
216,204
217,204
217,204
218,204
218,204
219,204
220,204
222,204
224,204
224,204
227,204
227,204
228,204
228,204
229,204
-1,-1
